MSG_ID,DATA_LEN,timeSent,timeRecv
1,220,24629922,24999153
2,203,30640681,30733405
3,181,36643681,36671512
4,119,42651735,42817908
5,229,48660702,48756801
6,133,54663668,54696053
7,132,60668742,60741402
8,117,66679676,66882002
9,185,72690301,72820724
10,116,78698242,78866639
11,178,84703126,84803823
12,123,90708100,90742803
13,186,96718194,96785211
14,218,102727125,102930372
15,135,108735108,108868271
16,122,114745166,115080279
17,170,120752120,120850803
18,208,126760116,126790888
19,187,132764477,132832175
20,201,138769264,138871557
21,188,144779270,144916334
22,148,150790333,150856845
23,201,156801266,156809711
24,137,162809247,162938765
25,154,168816330,168879937
26,111,174821248,175023821
27,111,180827247,180963402
28,162,186838319,186902592
29,199,192851556,193046834
30,182,198855368,198892136
31,230,204862448,204926661
32,125,210867354,211070081
33,153,216876362,217010842
34,185,222886437,222950228
35,222,228892383,229093975
36,145,234897361,235033040
37,198,240904444,240912373
38,118,246910353,247118105
39,128,252913443,253055872
40,218,258921351,259099441
41,196,264927284,265038319
42,216,270933282,270980447
43,174,276941351,277121334
44,231,282949280,283060504
45,141,288953272,288999700
46,211,294961355,294972796
47,187,300967284,303196487
48,150,306973265,307023396
49,165,312989305,313167205
50,137,318985704,319105870
